127.0.0.1, 2014-03-22 20:18:19, GET, /admin/static/_2.7.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000505
127.0.0.1, 2014-03-22 20:18:19, GET, /admin/static/_2.7.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.000386
127.0.0.1, 2014-03-22 20:18:19, GET, /admin/static/_2.7.3/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000230
127.0.0.1, 2014-03-22 20:18:19, GET, /admin/static/_2.7.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.094070
127.0.0.1, 2014-03-22 20:18:19, GET, /admin/static/_2.7.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.096536
127.0.0.1, 2014-03-22 20:18:19, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000516
127.0.0.1, 2014-03-22 20:18:19, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.030042
127.0.0.1, 2014-03-22 20:18:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000238
127.0.0.1, 2014-03-22 20:18:24, POST, /admin/default/index, HTTP/1.1, 303, 0.039419
127.0.0.1, 2014-03-22 20:18:24, GET, /admin/default/site, HTTP/1.1, 200, 0.048187
127.0.0.1, 2014-03-22 20:18:24, GET, /admin/static/_2.7.3/images/folder_locked.png, HTTP/1.1, 200, 0.000751
127.0.0.1, 2014-03-22 20:18:24, GET, /admin/static/_2.7.3/images/folder.png, HTTP/1.1, 200, 0.000508
127.0.0.1, 2014-03-22 20:18:24, GET, /admin/static/_2.7.3/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000325
127.0.0.1, 2014-03-22 20:18:24, POST, /admin/default/check_version, HTTP/1.1, 200, 0.193294
127.0.0.1, 2014-03-23 00:02:56, GET, /admin/default/logout, HTTP/1.1, 303, 0.003961
127.0.0.1, 2014-03-23 00:02:56, GET, /admin/default/index, HTTP/1.1, 200, 0.032549
127.0.0.1, 2014-03-23 15:49:39, GET, /welcome/default/index, HTTP/1.1, 200, 0.237108
127.0.0.1, 2014-03-23 15:49:40, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.014503
127.0.0.1, 2014-03-23 15:49:41, GET, /welcome/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001114
127.0.0.1, 2014-03-23 15:49:43, GET, /welcome/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000769
127.0.0.1, 2014-03-23 15:49:45, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.069999
127.0.0.1, 2014-03-23 15:49:45, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.081376
127.0.0.1, 2014-03-23 15:49:45, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000269
127.0.0.1, 2014-03-23 15:50:13, GET, /welcome/default/index, HTTP/1.1, 200, 0.014915
127.0.0.1, 2014-03-23 15:50:13, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000300
127.0.0.1, 2014-03-23 15:50:17, GET, /admin/default/index, HTTP/1.1, 200, 0.172506
127.0.0.1, 2014-03-23 15:50:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000309
127.0.0.1, 2014-03-23 15:50:21, POST, /admin/default/index, HTTP/1.1, 303, 0.030978
127.0.0.1, 2014-03-23 15:50:21, GET, /admin/default/site, HTTP/1.1, 200, 0.053562
127.0.0.1, 2014-03-23 15:50:21, POST, /admin/default/check_version, HTTP/1.1, 200, 0.062613
127.0.0.1, 2014-03-23 15:50:30, POST, /admin/default/site, HTTP/1.1, 303, 0.141989
127.0.0.1, 2014-03-23 15:50:30, GET, /admin/default/design/app1, HTTP/1.1, 200, 0.108806
127.0.0.1, 2014-03-23 15:50:31, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.036389
127.0.0.1, 2014-03-23 15:50:31, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.036359
127.0.0.1, 2014-03-23 15:50:31, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.036331
127.0.0.1, 2014-03-23 15:50:31, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.037795
127.0.0.1, 2014-03-23 15:50:34, GET, /admin/default/peek/app1/controllers/default.py, HTTP/1.1, 200, 0.026224
127.0.0.1, 2014-03-23 15:50:49, GET, /admin/default/design/app1, HTTP/1.1, 200, 0.076983
127.0.0.1, 2014-03-23 15:51:15, GET, /app1/deflaut/index, HTTP/1.1, 404, 0.775611
127.0.0.1, 2014-03-23 15:51:26, GET, /app1/default/index, HTTP/1.1, 200, 0.019037
127.0.0.1, 2014-03-23 15:51:26, GET, /app1/static/js/jquery.js, HTTP/1.1, 200, 0.002004
127.0.0.1, 2014-03-23 15:51:26, GET, /app1/static/css/calendar.css, HTTP/1.1, 200, 0.000378
127.0.0.1, 2014-03-23 15:51:26, GET, /app1/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000410
127.0.0.1, 2014-03-23 15:51:26, GET, /app1/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000241
127.0.0.1, 2014-03-23 15:51:26, GET, /app1/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000221
127.0.0.1, 2014-03-23 15:51:26, GET, /app1/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.002773
127.0.0.1, 2014-03-23 15:51:26, GET, /app1/static/js/calendar.js, HTTP/1.1, 200, 0.001203
127.0.0.1, 2014-03-23 15:51:26, GET, /app1/static/css/web2py.css, HTTP/1.1, 200, 0.000511
127.0.0.1, 2014-03-23 15:51:26, GET, /app1/static/js/web2py.js, HTTP/1.1, 200, 0.000579
127.0.0.1, 2014-03-23 15:51:26, GET, /app1/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000325
127.0.0.1, 2014-03-23 15:51:26, GET, /app1/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000917
127.0.0.1, 2014-03-23 15:51:26, GET, /app1/static/js/share.js, HTTP/1.1, 200, 0.001160
127.0.0.1, 2014-03-23 15:51:26, GET, /app1/static/images/favicon.ico, HTTP/1.1, 200, 0.000418
127.0.0.1, 2014-03-23 15:51:26, GET, /app1/static/images/facebook.png, HTTP/1.1, 200, 0.000256
127.0.0.1, 2014-03-23 15:51:26, GET, /app1/static/images/twitter.png, HTTP/1.1, 200, 0.001419
127.0.0.1, 2014-03-23 15:51:26, GET, /app1/static/images/gplus-32.png, HTTP/1.1, 200, 0.000511
127.0.0.1, 2014-03-23 15:51:29, GET, /app1/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000311
127.0.0.1, 2014-03-23 15:51:30, GET, /app1/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001119
127.0.0.1, 2014-03-23 15:51:45, GET, /app1/default/user/register, HTTP/1.1, 200, 0.019236
127.0.0.1, 2014-03-23 15:51:45, GET, /app1/default/user/register, HTTP/1.1, 200, 0.031699
127.0.0.1, 2014-03-23 15:51:45, GET, /app1/static/js/share.js, HTTP/1.1, 304, 0.000313
127.0.0.1, 2014-03-23 15:51:58, GET, /app1/default/user/login, HTTP/1.1, 200, 0.021167
127.0.0.1, 2014-03-23 15:51:58, GET, /app1/default/user/login, HTTP/1.1, 200, 0.029158
127.0.0.1, 2014-03-23 15:51:58, GET, /app1/static/js/share.js, HTTP/1.1, 304, 0.000277
127.0.0.1, 2014-03-23 15:52:05, GET, /app1/default/user/register, HTTP/1.1, 200, 0.019064
127.0.0.1, 2014-03-23 15:52:05, GET, /app1/default/user/register, HTTP/1.1, 200, 0.033184
127.0.0.1, 2014-03-23 15:52:05, GET, /app1/static/js/share.js, HTTP/1.1, 304, 0.000311
127.0.0.1, 2014-03-23 15:52:45, POST, /app1/default/user/register, HTTP/1.1, 303, 0.234540
127.0.0.1, 2014-03-23 15:52:45, GET, /app1/default/index, HTTP/1.1, 200, 0.019168
127.0.0.1, 2014-03-23 15:52:45, GET, /app1/static/js/share.js, HTTP/1.1, 304, 0.000275
127.0.0.1, 2014-03-23 15:52:51, GET, /admin/default/index, HTTP/1.1, 303, 0.004259
127.0.0.1, 2014-03-23 15:52:51, GET, /admin/default/site, HTTP/1.1, 200, 0.033924
127.0.0.1, 2014-03-23 15:52:59, GET, /admin/default/design/app1, HTTP/1.1, 200, 0.065221
127.0.0.1, 2014-03-23 15:53:01, GET, /admin/default/edit/app1/models/db.py, HTTP/1.1, 200, 0.058108
127.0.0.1, 2014-03-23 15:53:01, GET, /admin/static/_2.7.3/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.008193
127.0.0.1, 2014-03-23 15:53:01, GET, /admin/static/_2.7.3/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.006232
127.0.0.1, 2014-03-23 15:53:01, GET, /admin/static/_2.7.3/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.005608
127.0.0.1, 2014-03-23 15:53:01, GET, /admin/static/_2.7.3/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.006170
127.0.0.1, 2014-03-23 15:53:01, GET, /admin/static/_2.7.3/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.009401
127.0.0.1, 2014-03-23 15:53:01, GET, /admin/static/_2.7.3/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.005819
127.0.0.1, 2014-03-23 15:53:01, GET, /admin/static/_2.7.3/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000684
127.0.0.1, 2014-03-23 15:53:01, GET, /admin/static/_2.7.3/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.001366
127.0.0.1, 2014-03-23 15:53:01, GET, /admin/static/_2.7.3/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.001409
127.0.0.1, 2014-03-23 15:53:01, GET, /admin/static/_2.7.3/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.001501
